ticker,expiration,option_type,contractSymbol,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,mid_price,spread,time_to_expiry_years,theo_price,pricing_gap,pricing_gap_pct,liquidity_score,spread_penalty,alignment,opportunity_score_raw,opportunity_score,risk_flag
SPY,2026-02-09 21:00:00+00:00,call,SPY260209C00500000,500.0,196.94,189.09,191.89,,10,1.9213871118164065,190.49,2.799999999999983,0.007720695050830797,191.84485851945243,-1.3548585194524208,-0.007062261297531946,2.3978952727983707,0.014698934327261184,0,0.0,0.0,False
SPY,2026-02-09 21:00:00+00:00,call,SPY260209C00505000,505.0,186.88,184.09,186.89,2.0,2,1.8706061157226563,185.49,2.799999999999983,0.007720695050830797,186.8472457487652,-1.3572457487651945,-0.007263932327855382,1.6094379124341003,0.015095153377540476,0,0.0,0.0,True
SPY,2026-02-09 21:00:00+00:00,call,SPY260209C00600000,600.0,89.7,89.1,91.91,24.0,11,0.965820654296875,90.505,2.8100000000000023,0.007720695050830797,91.9239752741812,-1.4189752741812072,-0.015436400242143971,3.58351893845611,0.031048008397326143,0,0.0,0.0,False
SPY,2026-02-09 21:00:00+00:00,call,SPY260209C00605000,605.0,84.76,84.11,86.91,6.0,1,0.9196785375976562,85.50999999999999,2.799999999999997,0.007720695050830797,86.92750023591202,-1.41750023591203,-0.01630669502821414,2.0794415416798357,0.03274470822126064,0,0.0,0.0,True
SPY,2026-02-09 21:00:00+00:00,call,SPY260209C00620000,620.0,58.38,69.11,71.92,1.0,5,0.7827170166015626,70.515,2.8100000000000023,0.007720695050830797,71.94780898991655,-1.432808989916552,-0.019914560429732605,1.9459101490553132,0.039849677373608484,0,0.0,0.0,True
SPY,2026-02-09 21:00:00+00:00,call,SPY260209C00625000,625.0,61.26,64.11,66.92,90.0,1,0.7365748999023438,65.515,2.8100000000000023,0.007720695050830797,66.95258091966059,-1.43758091966059,-0.021471628127160743,4.5217885770490405,0.04289094100587655,0,0.0,0.0,False
SPY,2026-02-09 21:00:00+00:00,call,SPY260209C00630000,630.0,61.8,59.12,61.92,181.0,3,0.6901886450195314,60.519999999999996,2.8000000000000043,0.007720695050830797,61.95663376911125,-1.4366337691112534,-0.023187731187350166,5.220355825078324,0.04626569729015209,0,0.0,0.0,False
SPY,2026-02-09 21:00:00+00:00,call,SPY260209C00635000,635.0,45.73,54.12,56.92,8.0,21,0.6435582519531251,55.519999999999996,2.8000000000000043,0.007720695050830797,56.960266539361896,-1.4402665393619003,-0.025285459968250264,3.4011973816621555,0.0504322766570606,0,0.0,0.0,False
SPY,2026-02-09 21:00:00+00:00,call,SPY260209C00640000,640.0,49.23,49.12,51.92,180.0,68,0.5969278588867188,50.519999999999996,2.8000000000000043,0.007720695050830797,51.965885797494025,-1.4458857974940287,-0.027823749663933455,5.517452896464707,0.055423594615993756,0,0.0,0.0,False
SPY,2026-02-09 21:00:00+00:00,call,SPY260209C00645000,645.0,44.25,44.12,46.93,10.0,7,0.5507857421875001,45.525,2.8100000000000023,0.007720695050830797,46.97866158306283,-1.453661583062832,-0.03094301825718507,2.8903717578961645,0.06172432729269637,0,0.0,0.0,False
SPY,2026-02-09 21:00:00+00:00,call,SPY260209C00650000,650.0,39.58,39.13,41.93,283.0,80,0.5033008654785156,40.53,2.799999999999997,0.007720695050830797,41.98422122414172,-1.454221224141719,-0.03463732758976399,5.8971538676367405,0.06908462867012083,0,0.0,0.0,False
SPY,2026-02-09 21:00:00+00:00,call,SPY260209C00655000,655.0,34.39,34.13,36.93,6.0,6,0.4552056433105469,35.53,2.799999999999997,0.007720695050830797,36.98940200265088,-1.4594020026508758,-0.039454598442718446,2.5649493574615367,0.07880664227413445,0,0.0,0.0,False
SPY,2026-02-09 21:00:00+00:00,call,SPY260209C00660000,660.0,30.43,30.33,31.94,42.0,43,0.407232490234375,31.134999999999998,1.610000000000003,0.007720695050830797,32.00348151577907,-0.8684815157790737,-0.027137094923590597,4.454347296253507,0.05171029388148396,0,0.0,0.0,False
SPY,2026-02-09 21:00:00+00:00,call,SPY260209C00662000,662.0,27.35,27.14,29.94,16.0,22,0.3874572973632812,28.54,2.8000000000000007,0.007720695050830797,30.00591049399486,-1.465910493994862,-0.04885405807926533,3.6635616461296463,0.09810791871058167,0,0.0,0.0,False
SPY,2026-02-09 21:00:00+00:00,call,SPY260209C00665000,665.0,23.19,24.14,25.79,93.0,11,0.22412885253906245,24.965,1.6499999999999986,0.007720695050830797,25.98484328374866,-1.01984328374866,-0.0392476211078974,4.653960350157523,0.06609252954135784,0,0.0,0.0,False
SPY,2026-02-09 21:00:00+00:00,call,SPY260209C00667000,667.0,22.64,22.16,24.96,14.0,33,0.33875172973632806,23.560000000000002,2.8000000000000007,0.007720695050830797,25.030112585293523,-1.4701125852935206,-0.05873375839936442,3.871201010907891,0.11884550084889646,0,0.0,0.0,False
SPY,2026-02-09 21:00:00+00:00,call,SPY260209C00668000,668.0,21.32,22.41,22.7,26.0,4,0.178719150390625,22.555,0.28999999999999915,0.007720695050830797,22.91328784765119,-0.3582878476511908,-0.015636684269556646,3.4339872044851463,0.012857459543338468,0,0.0,0.0,False
SPY,2026-02-09 21:00:00+00:00,call,SPY260209C00669000,669.0,16.93,21.44,21.71,31.0,19,0.174812939453125,21.575000000000003,0.2699999999999996,0.007720695050830797,21.921176588313074,-0.34617658831307097,-0.01579187991659305,3.9318256327243257,0.012514484356894532,0,0.0,0.0,False
